"team","teamscore","homescore","offense","defense","offhomeadv","defhomeadv","week"
"353","TNS",-5.4,-11,0.2,-5.7,0,0,12
"354","UCD",-5.4,-11,-3.4,-2,0.1,0,12
"355","WEBS",-5.7,-11,-11,5.3,-0.5,-0.4,12
"356","FIU",-5.8,-12,-2.8,-3,2.5,9.6,12
"357","LAM",-5.8,-12,1.9,-7.7,4,2.3,12
"358","ACU",-6.1,-12,1,-7.1,-0.3,-0.1,12
"359","TOL",-6.6,-13,-2.1,-4.6,2.6,7,12
"360","GRAM",-6.7,-13,-13.1,6.5,0,-0.3,12
"361","ROBMO",-6.7,-13,-4.9,-1.9,-1,-0.1,12
"362","ALS",-7.2,-14,-4.4,-2.8,-0.1,-0.3,12
"363","ETNS",-7.2,-14,-7.5,0.3,0.2,-0.5,12
"364","MONM",-7.9,-16,-2.8,-5.1,0.3,0.6,12
"365","NCS",-8,-16,-4.6,-3.5,5.1,11.6,12
"366","SAMHOU",-8.3,-17,-2.9,-5.3,-0.6,-0.2,12
"367","FORD",-8.5,-17,1.2,-9.7,0.4,-0.3,12
"368","WM",-8.5,-17,-8.7,0.1,0.2,0.4,12
"369","ALCOS",-8.7,-17,-6.3,-2.4,-0.3,0.2,12
"370","NAZ",-8.7,-17,5.8,-14.5,-0.3,0.8,12
"371","PORS",-8.7,-17,-9.1,0.5,0.6,-0.2,12
"372","VAND",-8.8,-18,-6.9,-2,1.5,2.5,12
"373","TXS",-9,-18,-10.1,1.2,0.3,5.1,12
"374","MTS",-9.2,-18,-5.1,-4.1,0.1,0,12
"375","SFA",-9.5,-19,0.3,-9.8,0.3,-0.2,12
"376","COLG",-9.6,-19,-4.3,-5.3,0.2,0.3,12
"377","TNT",-10,-20,-2.3,-7.7,0,0.2,12
"378","UNLV",-10.1,-20,-3,-7.1,-0.3,4.7,12
"379","HBU",-10.5,-21,-1.9,-8.5,-0.5,0.3,12
"380","NCNEES",-10.5,-21,-2.5,-8,-0.2,0,12
"381","SAL",-10.5,-21,-11.2,0.7,1.5,5.3,12
"382","NM",-10.7,-21,-8.4,-2.3,8.6,-7.1,12
"383","RI",-11.2,-22,-6.2,-5.1,0.1,-0.5,12
"384","SD",-11.2,-22,-3.4,-7.8,-0.1,-0.4,12
"385","NV",-11.6,-23,-5.8,-5.8,0.7,3.2,12
"386","NCAT",-11.7,-23,-6.5,-5.2,0.1,0.4,12
"387","WIL",-11.7,-23,-7.8,-3.9,0.2,0.2,12
"388","R",-11.8,-24,-9.1,-2.7,4,-2.7,12
"389","ID",-11.9,-24,-2.7,-9.3,-0.2,0.5,12
"390","CAMP",-12.2,-24,-9.8,-2.4,-0.3,0,12
"391","RICHM",-12.2,-24,-7.4,-4.8,-0.1,0.5,12
"392","UTEP",-12.2,-24,-7.5,-4.6,-1.4,-5.1,12
"393","NCO",-12.4,-25,-8.3,-4,0.3,-1.1,12
"394","CT",-12.7,-25,-5.6,-7.1,0.3,-0.2,12
"395","SEMO",-12.8,-26,-6,-6.9,0.5,0.4,12
"396","JACKS",-13.1,-26,-4,-9.1,0.2,0.1,12
"397","NMS",-13.4,-27,-3.3,-10.1,-5.9,7.6,12
"398","ELON",-13.7,-27,-8.2,-5.5,-0.1,0.4,12
"399","NICHOLLS",-13.8,-28,-7.8,-5.9,0.1,-0.5,12
"400","WAG",-13.8,-28,-10.3,-3.5,0,-0.6,12
"401","MOS",-14,-28,-6.5,-7.6,0.1,-0.3,12
"402","EIL",-14.3,-29,-6.6,-7.7,0.1,0.2,12
"403","UTSA",-14.4,-29,-7.6,-6.7,4.5,3.2,12
"404","EKY",-14.6,-29,-11.4,-3.2,0.4,-0.3,12
"405","WCU",-15.4,-31,-9.6,-5.8,0.1,-0.7,12
"406","HAMP",-15.8,-32,0.2,-16,0.2,0.3,12
"407","CHATT",-15.9,-32,-8.3,-7.5,0,-0.3,12
